発売年,ハード,ジャンル,容量(bit),メーカー,タイトル,価格,ジョブカテゴリ,カウント,マッパー
1984-01-01,MSX,-,16K,ヤマハ,DX7音色プログラム,"￥7,800","￥8,000代",1,Mirrored
1986-01-01,MSX,-,不明,ヤマハ,DX7音色プログラム2,"￥9,800","￥10,000代",1,Mirrored
1985-01-01,MSX,-,不明,ヤマハ,DX9音色プログラム,"￥7,800","￥8,000代",1,Mirrored
1984-01-01,MSX,-,16K,ソニー,E.I.HBS-G017C,"￥4,000","￥4,000代",1,Mirrored
1988-01-01,MSX2,-,不明,ソニー,EasyTelopper2,"￥39,000","￥39,000代",1,?
1984-01-01,MSX,-,16K,ＨＡＬ研究所,EDDY2,"￥5,600","￥5,500代",1,Mirrored
1987-01-01,MSX2,-,1M,システムソフト,F-15ストライクイーグル,￥,￥0代,1,ASCII_8KB
1985-01-01,MSX,-,16K,NEXA,F16ファイティングファルコン,"￥5,800","￥6,000代",1,Mirrored
1987-01-01,MSX,-,1M,コナミ,F1スピリット,"￥5,800","￥6,000代",1,Konami58KB(SCC)
1985-01-01,MSX,-,32K,ヤマハ,FB-01音色プログラム,￥,￥0代,1,*0
1980-01-01,MSX2,-,1M,サブロジック,FliqhtSimulatorwithTorpedo,￥,￥0代,1,?
1985-01-01,MSX,-,不明,ヤマハ,FMオート・アレンジャー,"￥9,800","￥10,000代",1,?
1986-01-01,MSX,-,不明,ヤマハ,FMオート・アレンジャーUTILITY,"￥9,800","￥10,000代",1,?
1985-01-01,MSX,-,不明,ヤマハ,FMサウンドシンセサイザーユニット,"￥19,800","￥20,000代",1,?
1985-01-01,MSX,-,不明,ヤマハ,FMサウンドシンセサイザーユニット2,"￥29,800","￥30,000代",1,?
1984-01-01,MSX,-,16K,ヤマハ,FMミュージックコンポーザ,"￥7,800","￥8,000代",1,Mirrored
1984-01-01,MSX,-,32K,ヤマハ,FMミュージックコンポーザ2,"￥9,800","￥10,000代",1,Mirrored
1984-01-01,MSX,-,32K,ヤマハ,FMミュージックマクロ,"￥7,800","￥8,000代",1,Mirrored
1985-01-01,MSX,-,不明,ヤマハ,FMミュージックマクロ2,"￥9,800","￥10,000代",1,?
1985-01-01,MSX,-,不明,リットーミュージック,FMミュージックライター,"￥5,800","￥6,000代",1,?
1985-01-01,MSX,-,16K,ヤマハ,FM音色プログラム,"￥7,800","￥8,000代",1,Standard(startat0x4000)
1985-01-01,MSX,-,不明,ヤマハ,FM音色プログラム2,"￥9,800","￥10,000代",1,?
1987-01-01,MSX,-,16K,パナソフト,FS-FD1DiskBasic1.0,￥,￥0代,1,?
1987-01-01,MSX,-,16K,パナソフト,FS-FD1ADiskBasic1.0,￥,￥0代,1,?
1985-01-01,MSX,-,16K,松下電器産業,FS-FD351DiskBasic1.0,￥,￥0代,1,?
1980-01-01,不明,-,不明,松下電器産業,FS-SR021ワープロカートリッジ,￥,￥0代,1,?
1986-01-01,MSX,-,32K,松下電器産業,FS-SR022MSX文節変換辞書,￥,￥0代,1,[FS-SR022_MSX文節変換辞書] rom
1980-01-01,不明,-,不明,松下電器産業,FS-SR02348ドット毛筆カートリッジ,￥,￥0代,1,?
1985-01-01,MSX,-,32K,ポニーキャニオン,G.P.ワールド,"￥5,500","￥5,500代",1,Mirrored
1987-01-01,MSX2,-,8M,ＨＡＬ研究所,HALNOTE,"￥29,800","￥30,000代",1,[Halnote] rom
1987-01-01,MSX,-,16K,ソニー,HBD-F1DiskBasic1.0,￥,￥0代,1,?
1988-01-01,MSX,-,16K,ソニー,HB-F1XDJDiskBasic1.0,￥,￥0代,1,?
1988-01-01,MSX,-,16K,ソニー,HB-F1XVDiskBasic1.0,￥,￥0代,1,?
1985-01-01,MSX,-,不明,ハドソン,Hucalデータ君,"￥12,800","￥13,000代",1,?
1984-01-01,MSX,-,32K,アスキー,J.P.ウインクル,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,マスティール,JUMP,"￥4,800","￥5,000代",1,Mirrored
1980-01-01,不明,-,不明,ピクセル,LIFEM36PLANET,￥,￥0代,1,ASCII_8KB
1980-01-01,不明,-,不明,BIT2,MIDIサウルス,￥,￥0代,1,?
1986-01-01,MSX,-,32K,ヤマハ,MIDIマクロ,￥,￥0代,1,Mirrored
1985-01-01,MSX,-,不明,ヤマハ,MIDIレコーダ,"￥9,800","￥10,000代",1,?
1983-01-01,MSX,-,16K,アスキー,MOLE,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,8K,ＨＡＬ研究所,Mr.CHIN,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,日本コロムビア,Mr.Doワイルドライド,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,8K,日本コロムビア,Mr.Do!,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,16K,アスキー,MSXAID,"￥6,800","￥7,000代",1,Mirrored
1985-01-01,MSX,-,不明,東芝/東芝ＥＭＩ,MSXAudio,￥,￥0代,1,Standard(startat0x4000)
1988-01-01,MSX,-,1M,パナソフト,MSXAudio,￥,￥0代,1,[MSX-AUDIO] rom
1990-01-01,MSX2,-,不明,アスキー,MSXHDInterface,"￥30,000","￥30,000代",1,?
1986-01-01,MSX,-,不明,アスキー,MSXPLAN,"￥9,800","￥10,000代",1,?
1980-01-01,MSXTurboR,-,2M,アスキー,MSXView漢字ROM,￥,￥0代,1,ASCII_16KB
1983-01-01,MSX,-,16K,アスキー,MSXダービー,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1984-01-01,MSX,-,不明,東海クリエイト,MSXパソカルク,"￥9,800","￥10,000代",1,?
1980-01-01,MSX,-,4M,TIM,MSXプログラムコレクション50本1,￥,￥0代,1,?
1980-01-01,MSX,-,4M,TIM,MSXプログラムコレクション50本2,￥,￥0代,1,?
1980-01-01,MSX,-,2M,TIM,MSXプログラムコレクション50本3,￥,￥0代,1,?
1986-01-01,MSX,-,16K,アスキー,MSXべーしっ君,"￥4,500","￥4,500代",1,Standard(startat0x4000)
1988-01-01,MSX2,-,16K,アスキー,MSXべーしっ君ぷらす,"￥6,800","￥7,000代",1,Standard(startat0x4000)
1988-01-01,MSX,-,1M,ハイスコア,MSX英和辞典,"￥8,800","￥9,000代",1,ASCII_8KB
1984-01-01,MSX,-,不明,東芝/東芝ＥＭＩ,MSX花札,"￥6,800","￥7,000代",1,?
1985-01-01,MSX,-,32K,ソニー,MSX将棋,"￥5,800","￥6,000代",1,Mirrored
1991-01-01,MSX2,-,不明,アスキー,MSX増設RAMカートリッジ,"￥30,000","￥30,000代",1,?
1988-01-01,MSX,-,不明,ソニー,MSX通信カートリッジ,"￥32,800","￥33,000代",1,?
1988-01-01,MSX2,-,不明,ソニー,MSX標準日本語カートリッジ,"￥17,000","￥17,000代",1,?
1983-01-01,MSX,-,16K,アスキー,MSX-21,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1980-01-01,不明,-,不明,アスキー,MSX-DOS2,￥,￥0代,1,?
1980-01-01,不明,-,不明,アスキー,MSX-DOS2(RAM付),￥,￥0代,1,?
1988-01-01,MSX,-,2M,徳間書店／テクノポリス,MSXFANファンダムライブラリ1,"￥5,800","￥6,000代",1,ASCII_8KB
1988-01-01,MSX,-,2M,徳間書店／テクノポリス,MSXFANファンダムライブラリ2,"￥5,800","￥6,000代",1,ASCII_8KB
1988-01-01,MSX,-,2M,徳間書店／テクノポリス,MSXFANファンダムライブラリ3,"￥5,800","￥6,000代",1,ASCII_8KB
1986-01-01,MSX,-,32K,プロモテック,MSX-logo,"￥9,800","￥10,000代",1,?
1990-01-01,MSX,-,不明,アスキー,MSX-SERIAL232,"￥20,000","￥20,000代",1,?
1988-01-01,MSX,-,不明,キャンドゥ,MUSICIAN1,"￥12,800","￥13,000代",1,?
1987-01-01,MSX,-,1M,東京書籍,NEWHORIZON中学1年,￥,￥0代,1,ASCII_8KB
1987-01-01,MSX,-,1M,東京書籍,NEWHORIZON中学2年,￥,￥0代,1,?
1987-01-01,MSX,-,1M,東京書籍,NEWHORIZON中学3年,￥,￥0代,1,?
1985-01-01,MSX,-,不明,リンクス,NGA,￥,￥0代,1,Mirrored
1985-01-01,MSX,-,不明,リンクス,NGAII,￥,￥0代,1,Mirrored
1983-01-01,MSX,-,16K,ＭＩＡ,NYOROLS,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,リットーミュージック,PSGミュージックライター,"￥5,300","￥5,500代",1,Mirrored
1986-01-01,MSX,-,不明,ヤマハ,PSエディタ,"￥9,800","￥10,000代",1,?
1986-01-01,MSX,-,32K,コナミ,Qバート,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,不明,ヤマハ,RGBユニット,"￥9,800","￥10,000代",1,?
1988-01-01,MSX,-,3M,アイレム,R-TYPE,"￥7,300","￥7,500代",1,[R-TYPE] rom
1985-01-01,MSX,-,不明,ヤマハ,RXエディタ,"￥12,800","￥13,000代",1,?
1987-01-01,MSX,-,32K,ジャスト,SFアダルトアドベンチャーエリカ,"￥5,800","￥6,000代",1,Mirrored
1980-01-01,MSX,-,16K,コーラル,SimpleASMVol.1,￥,￥0代,1,Mirrored
1985-01-01,MSX,-,不明,コーラル,SimpleASMVol.2,"￥12,800","￥13,000代",1,?
1988-01-01,MSX2,-,1M,コナミ,THEプロ野球激突ペナントレース,"￥5,800","￥6,000代",1,Konami58KB(SCC)
1986-01-01,MSX,-,32K,アスキー,TZRグランプリライダー,"￥5,800","￥6,000代",1,Mirrored
1986-01-01,MSX,-,不明,キャノン販売,V-WORD,"￥34,800","￥35,000代",1,?
1992-01-01,MSXTurboR,-,不明,BIT2,μ.PACK,"￥19,800","￥20,000代",1,?
1989-01-01,MSX2,-,1M,ポニーキャニオン,アークテック,"￥5,800","￥6,000代",1,ASCII_16KB
1985-01-01,MSX,-,16K,カシオ,アイスワールド,"￥4,800","￥5,000代",1,Mirrored
1980-01-01,不明,-,不明,カシオ,アイスワールド2,￥,￥0代,1,?
1986-01-01,MSX2,-,1M,ポニーキャニオン,アイドロン,"￥5,800","￥6,000代",1,ASCII_8KB
1988-01-01,MSX2,-,2M,ポニーキャニオン,アウトラン,"￥6,800","￥7,000代",1,ASCII_8KB
1983-01-01,MSX,-,16K,ゼネラル,アクアポリスSOS,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,アクゥアタック,"￥5,800","￥6,000代",1,Mirrored
1985-01-01,MSX,-,16K,マスティール,アクトマン,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,1M,BIT2,アクロジェット,"￥5,800","￥6,000代",1,ASCII_16KB
1987-01-01,MSX2,-,2M,T＆E SOFT,アシュギーネ虚空の牙城,"￥6,800","￥7,000代",1,ASCII_8KB
1987-01-01,MSX2,-,2M,マイクロキャビン,アシュギーネ復讐の炎,"￥6,800","￥7,000代",1,ASCII_8KB
1984-01-01,MSX,-,16K,アスキー,アスレチックボール,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,パックスソフトニカ,アタックフォー女子バレー,"￥5,500","￥5,500代",1,Mirrored
1983-01-01,MSX,-,16K,ＭＩＡ,アドベン・チュー太,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX,-,32K,ＧＡ夢／HOT-B,アナザ(ア・ナ・ザ),"￥5,500","￥5,500代",1,Mirrored
1987-01-01,MSX,-,1M,エニックス,アニマルランド殺人事件,"￥5,800","￥6,000代",1,ASCII_8KB
1984-01-01,MSX,-,不明,ＨＡＬ研究所,アニメエディタEDDY,"￥14,800","￥15,000代",1,?
1987-01-01,MSX2,-,64K,タイトー／ニデコ,アメリカンサッカー,"￥5,800","￥6,000代",1,ASCII_8KB
1985-01-01,MSX,-,32K,日本テレネット,アメリカントラック,￥,￥0代,1,Mirrored
1986-01-01,MSX,-,32K,ザインソフト,アラモ,"￥5,800","￥6,000代",1,Standard(startat0x4000)
1984-01-01,MSX,-,16K,ソニー,アリババと40人の盗賊,"￥4,500","￥4,500代",1,Mirrored
1985-01-01,MSX,-,16K,ポニーキャニオン,アルカザール,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,タイトー／ニデコ,アルカノイド,"￥5,800","￥6,000代",1,Mirrored
1987-01-01,MSX2,-,1M,タイトー／ニデコ,アルカノイドII,"￥6,800","￥7,000代",1,ASCII_8KB
1988-01-01,MSX2,-,2M,KGD,アルギースの翼,￥,￥0代,1,ASCII_8KB
1986-01-01,MSX,-,32K,日本テレネット,アルバトロス,"￥6,800","￥7,000代",1,Mirrored
1984-01-01,MSX,-,16K,ソニー,アルファスクアドロン,"￥4,000","￥4,000代",1,Mirrored
1986-01-01,MSX,-,32K,ポニーキャニオン,アルファロイド,"￥4,900","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,2M,コンパイル,アレスタ,"￥6,800","￥7,000代",1,ASCII_16KB
1980-01-01,不明,-,不明,コンパイル,アレスタ2,￥,￥0代,1,?
1984-01-01,MSX,-,16K,マスティール,アンジェロ,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,ボースティック,アンティ,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,コナミ,イーアルカンフー,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,カシオ,イーアルカンフー,"￥4,800","￥5,000代",1,?
1985-01-01,MSX,-,32K,コナミ,イーガー皇帝の逆襲,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,カシオ,イーガー皇帝の逆襲,"￥4,800","￥5,000代",1,?
1985-01-01,MSX,-,32K,カシオ,イーグルファイター,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX,-,16K,タケル／ブラザー工業,イエローサブマリン,"￥2,500","￥2,500代",1,Mirrored
1988-01-01,MSX2,-,2M,ナムコ,イシターの復活,"￥6,800","￥7,000代",1,ASCII_16KB
1986-01-01,MSX2,-,不明,日立製作所,イラストワープロ,"￥29,800","￥30,000代",1,?
1983-01-01,MSX,-,16K,アスキー,イリーガスエピソードIV,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1983-01-01,MSX,-,16K,ハドソン,インディアンの冒険,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,東宝,インファント島の秘密モンスターズフェア,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX,-,1M,ハート電子産業,ヴァクソル,"￥6,800","￥7,000代",1,ASCII_16KB
1987-01-01,MSX,-,32K,ビクター音産,ヴィーナスファイヤー,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,4M,アスキー,ウィザードリィI,"￥12,800","￥13,000代",1,ASCII_8KB+SRAM
1987-01-01,MSX,-,1M,エニックス,ウイングマン2ダークキラーの復活,"￥5,800","￥6,000代",1,ASCII_8KB
1983-01-01,MSX,-,16K,アスキー,ウォーリア,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1985-01-01,MSX,-,32K,イエローホーン,ウォーロイド(WARROID),"￥5,800","￥6,000代",1,Mirrored
1985-01-01,MSX,-,32K,カシオ,ヴォルガード,"￥5,800","￥6,000代",1,?
1985-01-01,MSX,-,32K,デービーソフト,ヴォルガード,￥,￥0代,1,Mirrored
1987-01-01,MSX2,-,1M,コナミ,ウシャス,"￥5,800","￥6,000代",1,Konami48KB(noSCC)
1987-01-01,MSX2,-,1M,デービーソフト,うっでぃぽこ,"￥6,800","￥7,000代",1,ASCII_16KB
1987-01-01,MSX2,-,4M,マイクロキャビン,うる星やつら恋のサバイバルパーティ,￥,￥0代,1,ASCII_8KB
1987-01-01,MSX2,-,2M,ポニーキャニオン,ウルティマ恐怖のエクソダス,"￥6,800","￥7,000代",1,ASCII_8KB+SRAM
1984-01-01,MSX,-,16K,バンダイ,ウルトラマン,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX,-,1M,スクウェア,エイリアン2,"￥5,900","￥6,000代",1,ASCII_16KB
1986-01-01,MSX,-,32K,日本デクスタ,エイリアン8,"￥5,700","￥5,500代",1,Mirrored
1983-01-01,MSX,-,16K,アスキー,エクスチェンジャー,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1984-01-01,MSX,-,16K,ジャレコ,エクセリオン(EXERION),"￥4,500","￥4,500代",1,Mirrored
1986-01-01,MSX,-,16K,カシオ,エクゾイドZ,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,カシオ,エクゾイドZエリア5,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,ＨＡＬ研究所,エッガーランドミステリー,"￥5,600","￥5,500代",1,Mirrored
1986-01-01,MSX,-,1M,ＨＡＬ研究所,エッガーランドミステリー2迷宮神話,￥,￥0代,1,ASCII_16KB
1988-01-01,MSX2,-,1M,ＮＣＳ,エルスリード,"￥6,800","￥7,000代",1,ASCII_8KB+SRAM
1985-01-01,MSX,-,32K,タイトー／ニデコ,エレベーターアクション,"￥4,900","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,コンプティーク,オイルズ・ウェル,"￥5,900","￥6,000代",1,Mirrored
1988-01-01,MSX2,-,64K,和知電子機器,お絵かきソフト画楽多,￥,￥0代,1,ASCII_16KB
1988-01-01,MSX2,-,1M,システムソフト,オーガ(OGRE),"￥5,800","￥6,000代",1,ASCII_16KB
1985-01-01,MSX,-,16K,ポニーキャニオン,オセロ(Othello),"￥4,900","￥5,000代",1,Mirrored
1983-01-01,MSX,-,16K,ＭＩＡ,おてんばベッキーの大冒険,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,コンパイル,ガーディック,"￥4,900","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,カシオ,カーファイター,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,1M,日本テレネット,ガーリーブロック,"￥6,800","￥7,000代",1,ASCII_16KB
1983-01-01,MSX,-,8K,アスキー,カーレース(CARRACE),"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,カシオ,カシオワールドオープン,"￥4,800","￥5,000代",1,Mirrored
1980-01-01,不明,-,不明,アートサプライ,カップル,￥,￥0代,1,?
1986-01-01,MSX,-,32K,ポニーキャニオン,カモン!ピコ,"￥4,900","￥5,000代",1,Mirrored
1983-01-01,MSX,-,16K,アスキー,カラー・トーチカ,"￥4,800","￥5,000代",1,Mirrored
1983-01-01,MSX,-,16K,マジックソフト,カラー・ミッドウエイ,"￥4,800","￥5,000代",1,Mirrored
1983-01-01,MSX,-,8K,ハドソン,カラーボール,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,ＨＡＬ研究所,カラ丸珍道中,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1986-01-01,MSX,-,32K,ポニーキャニオン,ガルケイブ,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,1M,ソニー,ガルフォースカオスの攻防,"￥5,800","￥6,000代",1,ASCII_16KB
1985-01-01,MSX,-,32K,コスモスコンピュータ,カレイジアスペルセウス,￥,￥0代,1,Mirrored
1980-01-01,MSX2,-,1M,アスキー,かんたん手帳リファイルの攻防,￥,￥0代,1,?
1987-01-01,MSX2,-,1M,コナミ,がんばれゴエモン!からくり道中,"￥5,800","￥6,000代",1,Konami48KB(noSCC)
1986-01-01,MSX,-,32K,日本デクスタ,ガンフライト,"￥5,700","￥5,500代",1,Mirrored
1984-01-01,MSX,-,16K,ポニーキャニオン,キーストンケーパーズ,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,不明,ヤマハ,キーボードコードプログレッション1,"￥6,500","￥6,500代",1,?
1985-01-01,MSX,-,不明,ヤマハ,ギターコードマスター,"￥6,500","￥6,500代",1,?
1987-01-01,MSX,-,32K,ＨＡＬ研究所,キックイット,"￥5,500","￥5,500代",1,Mirrored
1987-01-01,MSX,-,不明,タケル／ブラザー工業,キャノンターボ,"￥2,500","￥2,500代",1,?
1983-01-01,MSX,-,8K,ハドソン,キャノンボール,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,NEXA,キャプテン・コスモ,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,8K,日本コロムビア,キャプテンシェフ,"￥4,800","￥5,000代",1,Mirrored
1983-01-01,MSX,-,16K,コナミ,キャベッジパッチキッズ,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,32K,ナムコ,ギャラガ,"￥4,500","￥4,500代",1,Mirrored
1984-01-01,MSX,-,8K,ナムコ,ギャラクシアン,"￥4,500","￥4,500代",1,Mirrored
1983-01-01,MSX,-,16K,アスキー,ギャング・マスター,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1983-01-01,MSX,-,16K,アスキー,キャンドゥーニンジャ,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,不明,ＨＡＬ研究所,キュースター,"￥4,800","￥5,000代",1,?
1988-01-01,MSX,-,2M,ゲームアーツ,ぎゅわんぶらあ自己中心派,"￥6,800","￥7,000代",1,ASCII_8KB
1988-01-01,MSX2,-,2M,ゲームアーツ,ぎゅわんぶらあ自己中心派2自称!強豪雀士編,"￥6,800","￥7,000代",1,ASCII_8KB
1984-01-01,MSX,-,32K,ナムコ,キング＆バルーン,"￥4,500","￥4,500代",1,Mirrored
1986-01-01,MSX2,-,1M,コナミ,キングコング2甦る伝説,"￥5,800","￥6,000代",1,Konami48KB(noSCC)
1986-01-01,MSX,-,1M,スクウェア,キングスナイト,"￥5,900","￥6,000代",1,ASCII_16KB
1985-01-01,MSX,-,32K,バンダイ,キン肉マンコロシアムデスマッチ,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,アスキー,クィーンズゴルフ,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,2M,BIT2,クインプル,￥,￥0代,1,ASCII_8KB
1986-01-01,MSX,ACT,32K,コナミ,グーニーズ,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,クエスト,￥,￥0代,1,Mirrored
1990-01-01,MSX2,-,1M,コナミ,クォース,"￥5,800","￥6,000代",1,Konami58KB(SCC)
1985-01-01,MSX,-,16K,ZAP,グライダー,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,SHT,1M,コナミ,グラディウス,"￥4,980","￥5,000代",1,Konami48KB(noSCC)
1987-01-01,MSX,SHT,1M,コナミ,グラディウス2,"￥5,800","￥6,000代",1,Konami58KB(SCC)
1985-01-01,MSX,-,不明,ヤマハ,グラフィックアーティスト,"￥7,800","￥8,000代",1,?
1986-01-01,MSX,-,不明,ヤマハ,グラフィックアーティストユーティリティ,"￥7,800","￥8,000代",1,?
1985-01-01,MSX,-,不明,ヤマハ,グラフィックカードセット,"￥19,800","￥20,000代",1,?
1984-01-01,MSX,-,不明,ソニー,グラフィックボール+エディー2,"￥20,400","￥20,500代",1,?
1985-01-01,MSX,-,不明,ソニー,グラフィックマスターラボ,"￥6,800","￥7,000代",1,?
1987-01-01,MSX2,-,2M,スキャップアトラスト,クリムゾン,￥,￥0代,1,ASCII_8KB
1985-01-01,MSX,-,32K,ポニーキャニオン,クルゼーダー,"￥4,900","￥5,000代",1,Standard(startat0x4000)
1983-01-01,MSX,-,8K,ソニー,クレイジートレイン,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX,-,1M,ハート電子産業,クレイズ,"￥5,800","￥6,000代",1,ASCII_16KB
1983-01-01,MSX,-,16K,アスキー,クレージーブレット,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1985-01-01,MSX,-,64K,デービーソフト,クロスブレイム,"￥5,800","￥6,000代",1,[クロスブレイム] rom
1985-01-01,MSX,-,32K,コンプティーク,グロックスリベンジ,"￥4,900","￥5,000代",1,Mirrored
1983-01-01,MSX,-,16K,マスティール,クンフーマスター,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,32K,カシオ,ゲームランド,"￥7,800","￥8,000代",1,*0
1985-01-01,MSX,-,不明,カシオ,ゲームランドスペシャル,"￥8,900","￥9,000代",1,?
1984-01-01,MSX,-,16K,コナミ,けっきょく南極大冒険,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,1M,ポニーキャニオン,ケンペレンチェス,"￥5,500","￥5,500代",1,ASCII_16KB
1986-01-01,MSX,-,32K,ソニー,コースターレース,"￥4,900","￥5,000代",1,Mirrored
1984-01-01,MSX,-,32K,ポニーキャニオン,ゴーストバスター,￥,￥0代,1,Mirrored
1988-01-01,MSX,-,2M,コナミ,ゴーファーの野望EPISODEII,"￥5,800","￥6,000代",1,Konami58KB(SCC)
1983-01-01,MSX,-,16K,マジックソフト,ゴキブリ大作戦,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,バンダイ,ゴジラVS3大怪獣,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,東宝,ゴジラくん,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,ソニー,コスモエクスプローラ,"￥4,900","￥5,000代",1,Mirrored
1985-01-01,MSX,-,不明,コナミ,コナミEC700,"￥34,800","￥35,000代",1,?
1985-01-01,MSX,-,16K,コナミ,コナミのゲームを10倍楽しむカートリッジ,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,コナミ,コナミのゴルフ,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,コナミ,コナミのサッカー,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,カシオ,コナミのテニス,"￥4,800","￥5,000代",1,?
1984-01-01,MSX,-,16K,コナミ,コナミのテニス,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,コナミ,コナミのピンポン,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,ハドソン,コナミのプーヤン,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,不明,東芝/東芝ＥＭＩ,コナミのベースボール,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,コナミ,コナミのベースボール,"￥4,800","￥5,000代",1,?
1985-01-01,MSX,-,32K,コナミ,コナミのボクシング,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX,-,1M,コナミ,コナミの新10倍カートリッジ,"￥5,800","￥6,000代",1,[コナミの新10倍カートリッジ] rom
1984-01-01,MSX,-,32K,コナミ,コナミの麻雀道場,"￥6,000","￥6,000代",1,Mirrored
1983-01-01,MSX,-,16K,アスキー,コメットテイル,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1986-01-01,MSX,-,32K,ポニーキャニオン,ゴルゴ13狼の巣,￥,￥0代,1,Mirrored
1983-01-01,MSX,-,16K,アスキー,ゴルフゲーム,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1984-01-01,MSX,-,32K,ハドソン,ゴルフ狂,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX2,-,2M,ポニーキャニオン,コロニスリフト,"￥5,800","￥6,000代",1,ASCII_16KB
1983-01-01,MSX,-,8K,レイゾン,コンドリ,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,ソニー,コンピューターオセロ,"￥3,500","￥3,500代",1,Mirrored
1984-01-01,MSX,-,16K,ソニー,コンピューターチェス,"￥4,000","￥4,000代",1,Mirrored
1983-01-01,MSX,-,8K,ソニー,コンピュータービリヤード,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,不明,-,不明,ソニー,コンピュータパチンコ,￥,￥0代,1,?
1985-01-01,MSX,-,32K,カシオ,コンピュータ入門,"￥5,800","￥6,000代",1,*0
1985-01-01,MSX,-,不明,三菱,コンピュー簿,"￥6,800","￥7,000代",1,?
